SiteID,BRLat,BRLong,StreamName,Program
FW08IA042,42.80455827,-91.53054161,NA,EPA
FW08IA043,41.587557,-94.39743921,NA,EPA
FW08IA048,41.21823045,-93.86450662,NA,EPA
FW08IA054,42.61752156,-91.28994821,NA,EPA
FW08IA055,40.68790173,-93.96833011,NA,EPA
FW08RIN9035,39.01349127,-85.50106931,NA,EPA
FW08RIN9046,39.83419007,-86.68450208,NA,EPA
FW08RMI9106,44.59081994,-85.07814424,NA,EPA
FW08RMI9110,44.61247157,-84.45743108,NA,EPA
FW08RMI9105,44.84533027,-84.83292083,NA,EPA
FW08MN017,43.71939974,-95.04621986,NA,EPA
FW08MN018,45.12479458,-93.99623578,NA,EPA
FW08MN021,43.76481527,-94.0407091,NA,EPA
FW08MN033,44.85127077,-93.98283292,NA,EPA
FW08MN034,45.19240062,-94.28959125,NA,EPA
FW08MN040,44.04150615,-92.33873681,NA,EPA
FW08AR009,33.88132106,-93.49051167,NA,EPA
FW08AR035,35.76862941,-93.1659807,NA,EPA
FW08AR007,34.98609295,-93.60350937,NA,EPA
FW08AR004,34.50655745,-94.18862207,NA,EPA
FW08AR008,34.42724497,-92.38033902,NA,EPA
FW08FL002,30.51884624,-87.29779287,NA,EPA
FW08FL013,30.84547115,-86.46667052,NA,EPA
FW08FL018,30.29491629,-85.29384067,NA,EPA
FW08FL021,30.18840677,-83.60818538,NA,EPA
FW08GA001,34.24605238,-84.68608632,NA,EPA
FW08GA003,34.52674768,-84.09111904,NA,EPA
FW08GA015,34.06954656,-84.53634847,NA,EPA
FW08GA023,33.92673274,-85.05046408,NA,EPA
FW08IA052,42.913511,-94.05752706,NA,EPA
FW08MD001,38.44066919,-76.69705831,NA,EPA
FW08MD002,38.82802711,-76.98111233,NA,EPA
FW08MD004,39.6484796,-77.18088663,NA,EPA
FW08MD007,39.59669875,-79.08394335,NA,EPA
FW08MD003,39.64269107,-78.4987201,NA,EPA
FW08MD005,38.27006247,-75.27663014,NA,EPA
FW08MT001,46.93088969,-110.8698447,NA,EPA
FW08MT002,45.14160685,-109.039941,NA,EPA
FW08MT005,45.90723297,-113.4809371,NA,EPA
FW08MT007,46.68544062,-114.5589588,NA,EPA
FW08MT008,46.25086868,-109.769586,NA,EPA
FW08MT014,47.08177722,-111.5943272,NA,EPA
FW08MT020,48.00504903,-116.0016672,NA,EPA
FW08MT023,45.83768591,-110.045797,NA,EPA
FW08MT029,46.56603822,-107.9657348,NA,EPA
FW08MT030,46.16676666,-110.5490957,NA,EPA
FW08MT045,47.0151948,-108.1650054,NA,EPA
FW08MT051,45.53162435,-112.1075066,NA,EPA
FW08MT054,46.15890312,-112.9050686,NA,EPA
FW08MT055,46.5855868,-111.2657088,NA,EPA
FW08MT060,45.03420574,-107.5853158,NA,EPA
FW08MT071,47.11536955,-111.3767773,NA,EPA
FW08MT013,45.91293536,-108.4087977,NA,EPA
FW08MT035,44.97626082,-112.9965913,NA,EPA
FW08MT038,47.83706182,-114.7376506,NA,EPA
FW08MT039,46.45774768,-110.3713081,NA,EPA
FW08MT048,46.11059188,-106.4503921,NA,EPA
FW08MT004,47.49900796,-110.7164261,NA,EPA
FW08NJ002,40.81493935,-75.04027188,NA,EPA
FW08NJ003,41.04211949,-74.04730262,NA,EPA
FW08NJ015,41.11045859,-74.84292471,NA,EPA
FW08NJ019,41.09547258,-74.1483308,NA,EPA
FW08NJ021,40.62461827,-74.47443725,NA,EPA
FW08MA001,42.09049853,-71.29759953,NA,EPA
FW08NY002,44.58850577,-74.80835367,NA,EPA
FW08NY003,42.96006993,-75.78860842,NA,EPA
FW08NY004,44.73815363,-73.47659672,NA,EPA
FW08NY008,42.60527812,-73.47988246,NA,EPA
FW08NY014,44.31879193,-74.52344171,NA,EPA
FW08NY015,42.50112044,-74.43890932,NA,EPA
FW08NY016,41.56286652,-73.84559791,NA,EPA
FW08NY018,42.93689353,-76.61918112,NA,EPA
FW08NY022,43.00710742,-76.68105171,NA,EPA
FW08NY024,44.86450288,-74.12799793,NA,EPA
FW08NY041,43.53157897,-74.55172988,NA,EPA
FW08NY065,42.90824199,-75.47830277,NA,EPA
FW08NY066,43.01566804,-76.85463864,NA,EPA
FW08NY077,42.74126609,-76.47440336,NA,EPA
FW08CT009,41.63414725,-72.74883502,NA,EPA
FW08ME001,45.94507318,-69.84798955,NA,EPA
FW08ME002,47.16990604,-68.90735581,NA,EPA
FW08ME003,43.43990417,-70.55629768,NA,EPA
FW08ME004,44.89177673,-70.38442132,NA,EPA
FW08ME006,45.88455729,-67.86175972,NA,EPA
FW08ME007,45.69043623,-70.0993017,NA,EPA
FW08ME008,46.43544151,-69.43808234,NA,EPA
FW08ME009,46.63770296,-67.79620541,NA,EPA
FW08ME010,47.11115563,-69.01443914,NA,EPA
FW08ME011,44.9834071,-69.55645391,NA,EPA
FW08ME020,46.97555966,-69.37837946,NA,EPA
FW08SD004,43.6967828,-102.1639264,NA,EPA
FW08SD005,43.41349596,-98.87786433,NA,EPA
FW08SD009,43.52786911,-101.7975957,NA,EPA
FW08SD010,45.7710672,-101.2769944,NA,EPA
FW08SD012,43.2870233,-102.8174619,NA,EPA
FW08SD016,45.68732336,-101.8394667,NA,EPA
FW08SD020,43.82175326,-99.45185123,NA,EPA
FW08SD021,44.28504443,-103.7937273,NA,EPA
FW08SD022,45.50981053,-101.0847823,NA,EPA
FW08SD025,43.78581882,-103.0622408,NA,EPA
FW08SD027,45.72849972,-101.9843776,NA,EPA
FW08SD029,45.00143744,-98.63765863,NA,EPA
FW08SD039,45.76411077,-100.6831275,NA,EPA
FW08SD023,45.65635515,-100.85083,NA,EPA
FW08SD019,43.38208938,-102.3896031,NA,EPA
FW08SD043,45.62072484,-102.3781605,NA,EPA
FW08SD041,44.15643022,-103.2286962,NA,EPA
FW08SD046,43.6071459,-102.9969674,NA,EPA
FW08SD049,45.35231501,-96.70890655,NA,EPA
FW08SD052,44.39508619,-102.8050839,NA,EPA
FW08SD054,43.64222528,-101.8385385,NA,EPA
FW08SD058,43.48729998,-102.4814225,NA,EPA
FW08SD063,44.5204035,-101.9940786,NA,EPA
FW08SD071,45.56322755,-101.5487176,NA,EPA
FW08SD061,43.91601196,-99.81948746,NA,EPA
FW08SD057,44.04587612,-99.15812818,NA,EPA
FW08CA001,33.7605511,-116.5497488,NA,EPA
FW08CA004,38.67542306,-121.4471954,NA,EPA
FW08CA006,38.73207634,-119.929254,NA,EPA
FW08CA007,34.74768352,-120.0540091,NA,EPA
FW08CA010,42.00285652,-122.764264,NA,EPA
FW08CA011,38.31081734,-119.3439232,NA,EPA
FW08CA012,34.55732876,-119.2497054,NA,EPA
FW08CA013,41.09035702,-124.0858495,NA,EPA
FW08CA016,37.32877981,-121.6748984,NA,EPA
FW08CA017,36.96370514,-119.2314146,NA,EPA
FW08CA075,39.90521376,-121.0465597,NA,EPA
FW08ND026,46.4179424,-103.5123702,NA,EPA
FW08ND007,48.92108636,-98.07484771,NA,EPA
FW08RND9033,48.83914242,-98.00571028,NA,EPA
FW08RND9138,48.82919437,-100.0674,NA,EPA
FW08RND010458,46.8942303,-103.5408473,NA,EPA
FW08RND010456,46.25350832,-103.9119487,NA,EPA
FW08RND010460,46.77388383,-102.4274817,NA,EPA
FW08ND001,46.38958696,-100.8727989,NA,EPA
FW08ND003,48.06337856,-100.9209377,NA,EPA
FW08ND004,47.45974483,-96.87661905,NA,EPA
FW08ND005,46.58915632,-101.733273,NA,EPA
FW08ND006,46.90918389,-103.5472657,NA,EPA
FW08ND010,47.30457885,-102.1929032,NA,EPA
FW08ND012,46.03088497,-101.6170808,NA,EPA
FW08ND013,46.47800388,-102.2405319,NA,EPA
FW08ND015,46.99020188,-102.8888491,NA,EPA
FW08ND017,47.25584742,-101.8083965,NA,EPA
FW08ND031,46.76207893,-97.19333858,NA,EPA
FW08ND021,47.12957903,-102.2341885,NA,EPA
FW08ND032,46.53464017,-100.4417819,NA,EPA
FW08ND033,47.04645893,-101.1047038,NA,EPA
FW08ND034,45.95828509,-103.1202439,NA,EPA
FW08ND036,46.05454691,-102.0750985,NA,EPA
FW08ND039,48.11971126,-97.17403442,NA,EPA
FW08ND040,46.77582075,-101.1706339,NA,EPA
FW08ND028,46.79972003,-101.1068409,NA,EPA
FW08ND022,47.16033766,-102.0420806,NA,EPA
FW08ND024,46.22148997,-101.5025463,NA,EPA
FW08ND044,46.74676239,-100.7427914,NA,EPA
FW08ND052,46.32399426,-101.8133071,NA,EPA
FW08ND056,46.74136434,-101.4838374,NA,EPA
FW08ND057,46.92584336,-103.5406523,NA,EPA
FW08ND060,46.27686832,-101.0279655,NA,EPA
FW08NE021,42.09737111,-101.1664848,NA,EPA
FW08NE037,41.54084738,-102.716022,NA,EPA
FW08NE001,42.62211054,-103.7163788,NA,EPA
FW08NE010,41.1442113,-101.212254,NA,EPA
FW08NE012,42.80279544,-100.5568093,NA,EPA
FW08NE013,42.44906515,-102.9989592,NA,EPA
FW08NE014,40.24541171,-99.70082637,NA,EPA
FW08NE017,41.25373201,-103.6113821,NA,EPA
FW08NE027,40.62492341,-100.5745606,NA,EPA
FW08NE024,42.94804468,-99.44766538,NA,EPA
FW08NE026,42.43358648,-103.6993125,NA,EPA
FW08NE030,40.23519944,-100.3104841,NA,EPA
FW08NE040,42.89817333,-100.4853865,NA,EPA
FW08NE045,42.71543719,-102.0301786,NA,EPA
FW08NE056,42.79716483,-100.045521,NA,EPA
FW08NE060,40.90225697,-96.60625678,NA,EPA
FW08NM001,35.97105437,-106.604984,NA,EPA
FW08NM002,36.59767554,-106.5008687,NA,EPA
FW08NM003,36.43580292,-105.2366118,NA,EPA
FW08NM012,36.11060373,-105.7319397,NA,EPA
FW08NM013,35.37707235,-104.5055536,NA,EPA
FW08NM018,32.36054883,-104.1851762,NA,EPA
FW08NM025,35.24331258,-104.910899,NA,EPA
FW08NM061,36.7888588,-106.240472,NA,EPA
FW08NM064,36.79741478,-104.8782854,NA,EPA
FW08NM069,35.77146238,-105.00735,NA,EPA
FW08NM070,36.78331081,-108.1187441,NA,EPA
FW08RNM9001,35.95104591,-103.6973874,NA,EPA
FW08RNM9002,36.22155067,-103.850683,NA,EPA
FW08RNM9004,36.58843762,-103.314843,NA,EPA
FW08RNM9030,36.17931198,-105.8292194,NA,EPA
FW08RNM9049,32.7498344,-105.9116856,NA,EPA
FW08RNM9060,36.93108889,-105.7356703,NA,EPA
FW08RNM9081,35.32355617,-103.9810699,NA,EPA
FW08RIL2CA08,38.59037209,-88.74802624,NA,EPA
FW08RIL2DJE02,40.6577934,-90.23153226,NA,EPA
FW08RIL2ICE01,37.51602934,-89.38047036,NA,EPA
FW08KS008,37.82360405,-97.46278768,NA,EPA
FW08KS021,39.89780307,-98.15767917,NA,EPA
FW08KS022,39.49522605,-97.2319021,NA,EPA
FW08RIL2AK07,37.50634045,-88.53683713,NA,EPA
FW08KS038,39.28796786,-97.41126277,NA,EPA
FW08KS040,37.85231964,-97.94179319,NA,EPA
FW08KS042,39.55416589,-99.74415093,NA,EPA
FW08WY008,41.65278617,-106.3134826,NA,EPA
FW08WY011,42.10979814,-104.6280471,NA,EPA
FW08WY013,44.73307352,-106.1027321,NA,EPA
FW08WY014,41.01544067,-108.8274098,NA,EPA
FW08WY020,41.59625207,-109.1487612,NA,EPA
FW08WY026,44.62541989,-105.3017111,NA,EPA
