"ReachID","SiteID","Year","Date","BRLat","BRLong","BFWidth","Grad","RchLen","BF_WDRatio","BF_Height","RPD ","PetPool","Sin ","PctDry","BankAngle","D50","PoolTailFines2","PctFines2","PctFines6","LWD_Freq","LWD_Vol","Program"
"6273","1913",2011,NA,45.647963,-104.250638,3.08,0.455,167,8.02,NA,0.36,50.9,2.523,NA,123,0.002,NA,NA,NA,17.96,6.534,"PIBO"
"4228","2671",2008,NA,43.743837,-113.851676,NA,NA,120,NA,NA,0,0,2.508,NA,NA,NA,NA,NA,NA,NA,NA,"PIBO"
"591","442",2001,NA,45.34706,-115.25303,NA,0.633,131.1,14,NA,0.45,73.91,2.507,NA,87,0.025,NA,NA,NA,419.53,100.472,"PIBO"
"2514","1913",2006,NA,45.647963,-104.250638,3.4,0.527,165.2,9.64,NA,0,0,2.503,NA,130,0.002,NA,NA,NA,18.16,9.437,"PIBO"
"1307","903",2004,NA,45.040643,-117.441191,10.56,0.351,247.7,29.13,NA,0.61,45.01,2.475,NA,103,0.035,18.22,NA,NA,363.34,118.863,"PIBO"
"736","547",2001,NA,43.674893,-113.693221,6.65,1.09,124.8,22.19,NA,0.38,54.89,2.471,NA,120,0.035,NA,NA,NA,176.28,12.536,"PIBO"
"6479","3227",2012,NA,44.7647888889,-118.783363889,4.21,0.324,129.8,7.17,NA,0.34,61.56,2.458,NA,99,0.003,48.53,NA,NA,223.42,42.396,"PIBO"
"5109","2699",2009,NA,45.531622,-111.886435,8.44,0.497,175.2,15.24,NA,0.59,51.94,2.447,NA,87,0.017,5.89,NA,NA,251.14,18.964,"PIBO"
"4822","166",2009,NA,48.379654,-114.709882,7.45,0.005,205.6,7.35,NA,1.22,88.13,2.445,NA,84,0.002,98.8,NA,NA,145.91,54.692,"PIBO"
"207","166",2004,NA,48.379654,-114.709882,7.61,0.019,209,11.58,NA,1.28,100,2.444,NA,90,0.002,99.83,NA,NA,119.62,44.768,"PIBO"
"5663","1533",2010,NA,45.808061,-115.528733,13.44,0.438,324.5,19.25,NA,0.87,53.47,2.423,NA,125,0.0525,4.5,NA,NA,61.63,5.249,"PIBO"
"2540","1935",2006,NA,44.899349,-113.425751,3.27,1.157,171.1,17.45,NA,0.3,53.83,2.417,NA,96,0.046,7.91,NA,NA,11.69,1.332,"PIBO"
"1337","927",2004,NA,44.84081,-118.137496,5.19,0.597,169.1,17.45,NA,0.52,90.24,2.405,NA,88,0.002,39.61,NA,NA,496.75,267.504,"PIBO"
"3848","769",2007,NA,45.256165,-116.073796,11.86,0.039,255.5,15.64,NA,0.9,71.23,2.401,NA,88,0.002,77.29,NA,NA,1812.13,489.626,"PIBO"
"2098","1533",2005,NA,45.808061,-115.528733,11.59,0.45,304.4,25.91,NA,0.81,71.98,2.38,NA,130,0.043,29.9,NA,NA,32.85,5.311,"PIBO"
"5101","1171",2009,NA,42.325978,-113.011209,5.39,0.467,175.5,14.4,NA,0.24,47.58,2.372,NA,134,0.002,33.48,NA,NA,0,0,"PIBO"
"401","327",2001,NA,46.915817,-116.403426,2.33,0.835,81.4,5.22,NA,0.29,59.83,2.366,NA,58,0.004,NA,NA,NA,73.71,3.479,"PIBO"
"6086","425",2011,NA,45.305764,-115.027931,4.56,0.382,170.1,11.1,NA,0.51,76.6,2.356,NA,95,0.012,13.94,NA,NA,158.73,108.704,"PIBO"
"1371","947",2003,NA,44.652812,-118.253047,2.48,0.607,166.5,14.31,NA,0.35,73.39,2.342,NA,107,0.012,10.43,NA,NA,156.16,49.277,"PIBO"
"7712","3396",2013,NA,44.2301096049,-119.322403591,2.75,0.604,129.2,7.91,NA,0.3,43.42,2.341,NA,99,0.002,92.57,NA,NA,0,0,"PIBO"
"2358","1860",2006,NA,44.636663,-115.543675,4.2,0.03,169,9.14,NA,0.41,79.11,2.331,NA,94,0.005,25.73,NA,NA,0,0,"PIBO"
"806","600",2003,NA,43.983801,-114.263328,3.03,1.183,161.5,18.21,NA,0.32,55.23,2.324,NA,122,0.058,3.39,NA,NA,6.19,0.126,"PIBO"
"1864","1342",2005,NA,46.535576,-115.060369,2.18,0.709,169.3,5.56,NA,0.38,86.12,2.316,NA,70,0.002,94.21,NA,NA,206.73,48.951,"PIBO"
"4522","2609",2008,NA,45.212299,-108.553103,2.6,0.776,165,7.16,NA,0.47,73.52,2.308,NA,119,0.002,71.3,NA,NA,6.06,0.105,"PIBO"
"5537","1426",2010,NA,46.135842,-117.808065,5.93,3.308,157.8,14.89,NA,0.29,21.67,2.307,NA,132,0.0795,1.72,NA,NA,221.8,131.199,"PIBO"
"4331","947",2008,NA,44.652812,-118.253047,3.62,0.655,158.7,12.37,NA,0.27,74.92,2.303,NA,101,0.0095,65.81,NA,NA,100.82,43.258,"PIBO"
"4966","626",2009,NA,44.107464,-114.745683,1.62,1.793,121,4.25,NA,0.22,67.11,2.283,NA,80,NA,NA,NA,NA,NA,NA,"PIBO"
"4489","2568",2008,NA,46.222588,-110.529207,5.67,1.192,182,25.66,NA,0.34,37.97,2.275,NA,106,0.044,20.71,NA,NA,148.35,22.264,"PIBO"
"1135","798",2001,NA,45.134848,-116.41421,7.05,0.347,173,27.33,NA,0.56,83.06,2.267,NA,116,0.028,NA,NA,NA,335.26,199.59,"PIBO"
"4826","170",2009,NA,48.802878,-114.645354,6.38,0.784,156.9,16.94,NA,0.39,76.99,2.261,NA,94,0.01,7.8,NA,NA,803.06,145.652,"PIBO"
"350","280",2004,NA,46.587755,-114.269328,5.48,0.408,188.8,14.71,NA,0.52,89.94,2.253,NA,69,0.002,49.4,NA,NA,858.05,118.024,"PIBO"
"7572","2568",2013,NA,46.222588,-110.529207,5.93,1.357,174.7,25.48,NA,0.36,32.4,2.237,NA,109,0.022,28,NA,NA,194.62,38.861,"PIBO"
"2374","798",2006,NA,45.134848,-116.41421,7.4,0.363,178.9,21.49,NA,0.51,76.08,2.236,NA,110,0.006,9.56,NA,NA,335.38,71.585,"PIBO"
"1387","959",2003,NA,43.851487,-118.757401,2.52,0.255,160.6,14.36,NA,0.47,68.99,2.231,NA,114,0.01,34.8,NA,NA,18.68,67.351,"PIBO"
"4872","280",2009,NA,46.587755,-114.269328,5.85,0.327,180.4,8.37,NA,1.02,90.58,2.227,NA,84,0.002,50.67,NA,NA,903.55,213.74,"PIBO"
"5130","2737",2009,NA,44.909352,-112.002884,4.43,1.185,195,7.21,NA,0.3,43.59,2.213,NA,91,0.092,11.6,NA,NA,0,0,"PIBO"
"561","422",2001,NA,45.496212,-115.189458,2.77,0.488,88.2,11.44,NA,0.37,83.33,2.211,NA,73,0.006,NA,NA,NA,113.38,64.538,"PIBO"
"3895","2094",2006,NA,44.416144,-115.393367,20.2,0.101,168,29.29,NA,1.48,39.64,2.211,NA,91,0.014,4.67,NA,NA,17.86,0.825,"PIBO"
"1640","1171",2003,NA,42.325978,-113.011209,4.61,0.392,173.5,15.16,NA,0.24,16.37,2.21,NA,139,0.004,51.68,NA,NA,0,0,"PIBO"
"1086","779",2001,NA,45.143701,-116.178674,7.54,0.335,134.3,74.32,NA,0.67,52.87,2.209,NA,86,0.048,NA,NA,NA,89.35,11.041,"PIBO"
"3969","596",2007,NA,44.164334,-114.180973,1.56,0.32,168.7,7.97,NA,0.31,68.64,2.202,NA,99,0.005,26.4,NA,NA,0,0,"PIBO"
"586","442",2002,NA,45.34706,-115.25303,5.09,0.842,128.3,15.03,NA,0.4,85.42,2.201,NA,93,0.029,NA,NA,NA,342.95,60.24,"PIBO"
"5623","1171",2010,NA,42.325978,-113.011209,6.19,0.499,178.2,17.86,NA,0.17,5.05,2.2,NA,147,0.002,39.16,NA,NA,0,0,"PIBO"
"6271","1171",2011,NA,42.325978,-113.011209,2.9,0.975,177.5,14.13,NA,0.21,28.62,2.186,NA,125,0.002,95.63,NA,NA,0,0,"PIBO"
"4962","600",2009,NA,43.983801,-114.263328,NA,NA,161.5,NA,NA,0,0,2.182,NA,NA,NA,NA,NA,NA,NA,NA,"PIBO"
"2164","126",2006,NA,48.61542,-115.474809,6.39,0.416,197,16.44,NA,0.59,80.76,2.179,NA,102,0.02,18.57,NA,NA,741.12,147.11,"PIBO"
"5111","2701",2009,NA,45.478729,-112.08502,8.31,1.252,218.9,14,NA,0.57,42.99,2.178,NA,88,0.0465,0,NA,NA,155.32,37.29,"PIBO"
"7490","947",2013,NA,44.652812,-118.253047,3.89,0.708,146.9,11.31,NA,0.26,60.65,2.17,NA,96,0.017,8.3,NA,NA,245.06,81.592,"PIBO"
"6688","1171",2012,NA,42.325978,-113.011209,4.34,0.534,179.8,15.3,NA,0.26,36.15,2.161,NA,125,0.002,100,NA,NA,0,0,"PIBO"
"6532","126",2012,NA,48.61542,-115.474809,6.62,0.495,169.7,11.9,NA,0.61,79.08,2.159,NA,79,0.0375,5.62,NA,NA,583.38,110.134,"PIBO"
"7603","2609",2013,NA,45.212299,-108.553103,3.19,0.723,173,5.58,NA,0.57,57.75,2.157,NA,84,0.006,15.07,NA,NA,40.46,0.665,"PIBO"
"3858","126",2007,NA,48.61542,-115.474809,5.68,0.591,198,15.61,NA,0.58,61.21,2.155,NA,78,0.02,19.95,NA,NA,641.41,134.829,"PIBO"
"5998","1793",2011,NA,47.508267,-113.358294,5.58,1.136,172.5,18.35,NA,0.38,43.94,2.14,NA,119,0.042,6.07,NA,NA,173.91,63.125,"PIBO"
"632","462",2003,NA,45.341139,-114.068779,5.81,1.843,166.6,28.76,NA,0.31,41.78,2.136,NA,115,0.057,2.33,NA,NA,234.09,22.441,"PIBO"
"4594","753",2007,NA,45.156791,-115.677379,4.98,0.717,170.2,7.92,NA,0.37,66.39,2.136,NA,88,0.013,13.89,NA,NA,781.43,144.553,"PIBO"
"5051","987",2009,NA,43.907037,-119.480184,4.13,1.151,119,17.45,NA,0.27,60.92,2.136,NA,118,0.028,NA,NA,NA,NA,NA,"PIBO"
"7615","2626",2013,NA,46.559656,-110.640805,3.47,1.447,197.6,8.73,NA,0.27,49.54,2.12,NA,103,0.035,16.49,NA,NA,10.12,0.138,"PIBO"
"4518","2605",2008,NA,45.681577,-106.017856,1.23,0.661,165,7.71,NA,0,0,2.115,NA,136,0.002,NA,NA,NA,42.42,4.961,"PIBO"
"6465","3213",2012,NA,45.6509611111,-113.644966667,12.73,0.143,405.1,14.17,NA,0.65,69.64,2.11,NA,84,0.022,4.13,NA,NA,4.94,0.614,"PIBO"
"7599","2605",2013,NA,45.681577,-106.017856,2.27,0.643,166.3,5.63,NA,0.13,60.07,2.105,NA,122,0.002,70.2,NA,NA,90.2,11.308,"PIBO"
"3943","901",2007,NA,45.229502,-117.357822,9.4,0.139,215.8,19.19,NA,0.95,78.73,2.097,NA,91,0.01,13.56,NA,NA,588.51,121.639,"PIBO"
"5679","356",2010,NA,46.882483,-116.163022,4.79,0.595,164.7,5.6,NA,0.67,100,2.093,NA,73,0.002,97.7,NA,NA,376.44,59.187,"PIBO"
"2529","1924",2006,NA,44.664324,-111.202222,2.07,1.036,167,9.11,NA,0.26,69.04,2.088,NA,89,0.021,6.19,NA,NA,161.68,32.769,"PIBO"
